pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 855.843233, 1257, 18411, 690, 72.4637681159, 181, 0.0362, 4614, 317, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 853.675847, 1242, 18394, 703, 89.2857142857, 246, 0.0492, 4562, 382, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 823.520305, 1202, 18349, 692, 96.1538461538, 244, 0.0488, 4653, 295, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 840.973774, 1756, 18382, 701, 89.2857142857, 333, 0.0666, 4723, 221, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 838.121667, 926, 18387, 700, 89.2857142857, 256, 0.0512, 4751, 193, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 841.260853, 1094, 18397, 706, 92.5925925926, 289, 0.0578, 4770, 176, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 843.215193, 1087, 18405, 696, 96.1538461538, 278, 0.0556, 4713, 235, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 839.877615, 1020, 18407, 720, 116.279069767, 271, 0.0542, 4743, 214, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 829.825043, 1128, 18343, 685, 89.2857142857, 397, 0.0794, 4696, 248, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 827.537471, 1260, 18355, 695, 111.111111111, 314, 0.0628, 4727, 228, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 817.570466, 1303, 18335, 690, 121.951219512, 361, 0.0722, 4808, 151, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 832.587616, 1197, 18408, 691, 119.047619048, 255, 0.051, 4651, 307, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 826.881525, 1068, 18368, 687, 119.047619048, 305, 0.061, 4810, 148, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 847.104244, 1159, 18412, 699, 100.0, 290, 0.058, 4612, 338, 0.5
