p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.075579, 178, 14986, 133, 714.285714286, 1572, 0.3144
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.074491, 148, 14989, 130, 1000.0, 2774, 0.5548
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.084058, 160, 14980, 130, 555.555555556, 1419, 0.2838
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.214956, 183, 14985, 133, 833.333333333, 2127, 0.4254
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.205739, 170, 14982, 133, 555.555555556, 1541, 0.3082
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.120308, 158, 14990, 140, 1000.0, 2942, 0.5884
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.094436, 142, 14986, 129, 714.285714286, 1749, 0.3498
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.113147, 196, 14972, 132, 384.615384615, 1413, 0.2826
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.160863, 201, 14979, 130, 500.0, 1110, 0.222
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.084194, 174, 14980, 135, 555.555555556, 2787, 0.5574
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.059382, 165, 14980, 130, 500.0, 1376, 0.2752
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.153562, 164, 14978, 128, 500.0, 1783, 0.3566
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.16091, 146, 14988, 130, 833.333333333, 1193, 0.2386
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.124301, 175, 14975, 131, 454.545454545, 1226, 0.2452
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.069355, 172, 14985, 126, 714.285714286, 1967, 0.3934
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.137102, 201, 14974, 131, 454.545454545, 1110, 0.222
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.091741, 167, 14990, 138, 1000.0, 2443, 0.4886
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.222756, 138, 14976, 130, 454.545454545, 1180, 0.236
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.103493, 147, 14984, 132, 625.0, 844, 0.1688
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.110206, 183, 14978, 138, 555.555555556, 2931, 0.5862
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.128811, 176, 14988, 133, 833.333333333, 2444, 0.4888
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.114022, 156, 14990, 135, 1250.0, 4261, 0.8522
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.075822, 143, 14981, 128, 555.555555556, 1108, 0.2216
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.080745, 139, 14977, 127, 500.0, 1993, 0.3986
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.083497, 178, 14981, 134, 625.0, 1378, 0.2756
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.076653, 153, 14990, 128, 1000.0, 1592, 0.3184
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.08296, 182, 14975, 132, 454.545454545, 1382, 0.2764
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.082778, 185, 14984, 133, 714.285714286, 1352, 0.2704
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.083529, 163, 14978, 131, 454.545454545, 1028, 0.2056
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.102274, 157, 14971, 131, 384.615384615, 1151, 0.2302
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.122582, 162, 14990, 137, 1000.0, 1435, 0.287
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.149491, 181, 14971, 132, 384.615384615, 836, 0.1672
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.067482, 153, 14989, 130, 1000.0, 1760, 0.352
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.113402, 172, 14981, 133, 625.0, 1928, 0.3856
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.19893, 174, 14976, 145, 454.545454545, 887, 0.1774
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.092036, 157, 14978, 128, 500.0, 1516, 0.3032
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.146143, 150, 14987, 132, 833.333333333, 1956, 0.3912
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.143591, 177, 14987, 134, 833.333333333, 1423, 0.2846
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.15494, 201, 14976, 125, 454.545454545, 1866, 0.3732
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.168871, 173, 14980, 130, 500.0, 1515, 0.303
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.111187, 167, 14981, 128, 555.555555556, 1201, 0.2402
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.120529, 163, 14983, 137, 625.0, 1462, 0.2924
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.259557, 171, 14979, 136, 500.0, 1554, 0.3108
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.153327, 156, 14982, 136, 555.555555556, 1178, 0.2356
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.220883, 214, 14990, 138, 1000.0, 1777, 0.3554
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.196551, 181, 14989, 138, 1000.0, 2626, 0.5252
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.196149, 152, 14981, 133, 714.285714286, 2694, 0.5388
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.177888, 168, 14985, 132, 714.285714286, 1557, 0.3114
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.214904, 166, 14982, 140, 625.0, 1264, 0.2528
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5000, 1.167868, 197, 14976, 134, 454.545454545, 1278, 0.2556
