p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.780807, 174, 19001, 134, 833.333333333, 1445, 0.289, 4106, 888, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.388689, 188, 18994, 125, 833.333333333, 2214, 0.4428, 4172, 822, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.828097, 133, 18969, 122, 833.333333333, 1403, 0.2806, 4157, 837, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.673437, 155, 18989, 136, 714.285714286, 1842, 0.3684, 4181, 812, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.009938, 210, 18984, 141, 1000.0, 1275, 0.255, 4089, 906, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.136951, 152, 18987, 134, 555.555555556, 1129, 0.2258, 4106, 885, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 149.606965, 158, 18949, 133, 1000.0, 2353, 0.4706, 4158, 837, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.003189, 176, 18957, 130, 454.545454545, 1394, 0.2788, 4123, 866, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.418648, 158, 18990, 136, 2500.0, 2880, 0.576, 4088, 910, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.045144, 197, 19011, 126, 833.333333333, 1302, 0.2604, 4054, 940, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.869761, 151, 18991, 128, 625.0, 2276, 0.4552, 4028, 964, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.728944, 164, 18974, 127, 714.285714286, 1213, 0.2426, 4071, 922, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.961713, 187, 18987, 128, 833.333333333, 1121, 0.2242, 4149, 845, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.032837, 170, 18983, 132, 500.0, 1184, 0.2368, 4140, 850, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.851658, 152, 19044, 133, 833.333333333, 2514, 0.5028, 4062, 932, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 150.436049, 171, 18956, 130, 714.285714286, 1409, 0.2818, 4126, 867, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 156.131923, 155, 19021, 130, 714.285714286, 1858, 0.3716, 4172, 821, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.144756, 182, 18974, 131, 555.555555556, 868, 0.1736, 4068, 923, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.418562, 162, 18989, 136, 714.285714286, 1276, 0.2552, 4061, 932, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.988798, 210, 18975, 129, 1250.0, 2775, 0.555, 3989, 1007, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 151.646588, 150, 18950, 131, 555.555555556, 1432, 0.2864, 4070, 921, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.204136, 176, 18970, 135, 1666.66666667, 2043, 0.4086, 4006, 991, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.120527, 144, 18962, 138, 1250.0, 3544, 0.7088, 4118, 878, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 148.201913, 170, 18911, 135, 1000.0, 2130, 0.426, 4155, 840, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 150.939859, 170, 18954, 135, 1000.0, 1715, 0.343, 4086, 909, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 150.600342, 180, 18938, 129, 384.615384615, 890, 0.178, 4117, 870, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.899583, 194, 19016, 134, 1250.0, 1748, 0.3496, 4209, 787, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 156.41482, 186, 18988, 138, 1000.0, 1411, 0.2822, 4140, 855, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.767386, 151, 18984, 131, 714.285714286, 833, 0.1666, 4118, 875, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.669663, 155, 19014, 129, 1250.0, 3312, 0.6624, 4092, 904, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.540284, 153, 19007, 134, 1250.0, 2126, 0.4252, 4048, 948, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 149.295612, 160, 18925, 131, 625.0, 1763, 0.3526, 4200, 792, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.427417, 180, 18990, 138, 2500.0, 3666, 0.7332, 4085, 913, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 162.54049, 164, 19010, 132, 1000.0, 3344, 0.6688, 4145, 850, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.770936, 161, 19011, 129, 625.0, 1862, 0.3724, 4101, 891, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.549238, 152, 19020, 129, 1000.0, 1222, 0.2444, 4016, 979, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.685063, 169, 19027, 130, 1250.0, 1350, 0.27, 4082, 914, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.330014, 151, 19015, 132, 2500.0, 2561, 0.5122, 4032, 966, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.396908, 156, 18975, 128, 714.285714286, 1176, 0.2352, 4043, 950, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 152.923864, 159, 18999, 137, 1250.0, 2125, 0.425, 4093, 903, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 155.143626, 185, 19018, 140, 625.0, 2480, 0.496, 4131, 861, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 156.517432, 166, 18961, 134, 833.333333333, 1450, 0.29, 4194, 800, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 155.200843, 157, 18996, 129, 416.666666667, 1202, 0.2404, 4185, 803, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.353768, 145, 18968, 125, 384.615384615, 1388, 0.2776, 4101, 886, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.298947, 144, 18974, 124, 555.555555556, 1236, 0.2472, 4138, 853, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 156.326568, 163, 18989, 130, 833.333333333, 2006, 0.4012, 4057, 937, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 158.231529, 166, 18964, 137, 833.333333333, 1540, 0.308, 4082, 912, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 154.216101, 141, 18973, 124, 714.285714286, 1503, 0.3006, 4133, 860, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 153.7994, 176, 18997, 134, 714.285714286, 2296, 0.4592, 4155, 838, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 156.323323, 181, 18999, 130, 833.333333333, 2126, 0.4252, 3996, 998, 0.25
