pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 205.465843, 191, 18998, 143, 833.333333333, 1397, 0.2794, 3158, 1836, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 206.723048, 179, 18976, 149, 555.555555556, 1168, 0.2336, 3119, 1872, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 204.815597, 182, 18979, 140, 625.0, 1760, 0.352, 3154, 1838, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 206.370919, 177, 19020, 133, 625.0, 1382, 0.2764, 3080, 1912, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.315265, 186, 18971, 142, 625.0, 2011, 0.4022, 3200, 1792, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 205.706158, 208, 19031, 140, 625.0, 946, 0.1892, 3085, 1907, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.874346, 199, 19009, 131, 625.0, 1255, 0.251, 3165, 1827, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.811001, 152, 19011, 140, 1000.0, 2302, 0.4604, 3194, 1801, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 200.528289, 178, 18927, 138, 714.285714286, 1861, 0.3722, 3174, 1819, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 202.208164, 178, 18968, 138, 833.333333333, 2064, 0.4128, 3254, 1740, 0.35
