p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 280.887642, 151, 19069, 145, 1670.0, 2940, 0.586826347305, 3691, 1316, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 269.141337, 183, 19015, 143, 835.0, 1692, 0.337724550898, 3764, 1240, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 275.109597, 197, 19024, 147, 1670.0, 2188, 0.436726546906, 3740, 1267, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 271.527064, 182, 19044, 151, 835.0, 1888, 0.376846307385, 3777, 1227, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 273.265371, 198, 19007, 145, 1252.5, 4044, 0.807185628743, 3632, 1374, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 267.543743, 188, 18998, 150, 556.666666667, 1644, 0.328143712575, 3769, 1232, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 279.067456, 175, 19043, 139, 626.25, 1004, 0.200399201597, 3735, 1267, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 273.245651, 179, 19010, 149, 1002.0, 2977, 0.594211576846, 3760, 1245, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 270.582251, 208, 19028, 153, 626.25, 1708, 0.340918163673, 3792, 1210, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 282.997013, 156, 19035, 137, 626.25, 1496, 0.298602794411, 3631, 1371, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 263.212171, 197, 19054, 162, 1252.5, 4125, 0.823353293413, 3778, 1228, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 279.680547, 199, 19025, 143, 626.25, 1645, 0.328343313373, 3667, 1335, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 270.688658, 164, 18947, 139, 626.25, 1741, 0.34750499002, 3729, 1273, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 279.108936, 189, 19002, 132, 556.666666667, 1302, 0.259880239521, 3539, 1462, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.484582, 174, 19050, 140, 835.0, 1890, 0.377245508982, 3748, 1256, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 274.848577, 174, 18987, 140, 715.714285714, 1880, 0.375249500998, 3654, 1349, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 277.860649, 186, 19024, 153, 556.666666667, 2025, 0.404191616766, 3767, 1234, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 271.291051, 175, 18977, 148, 556.666666667, 1174, 0.234331337325, 3703, 1298, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.779056, 174, 19015, 143, 626.25, 2067, 0.412574850299, 3806, 1196, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 266.191597, 173, 19044, 150, 2505.0, 2774, 0.55369261477, 3807, 1201, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 269.434419, 181, 19033, 144, 501.0, 1487, 0.296806387226, 3824, 1176, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 273.593054, 178, 19081, 153, 556.666666667, 2789, 0.556686626747, 3787, 1214, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 268.610505, 165, 19000, 144, 715.714285714, 2014, 0.401996007984, 3842, 1161, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 279.889891, 150, 19061, 135, 715.714285714, 1874, 0.374051896208, 3781, 1222, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 281.242791, 151, 19032, 132, 417.5, 1390, 0.27744510978, 3691, 1307, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 278.807321, 169, 19019, 145, 715.714285714, 1383, 0.276047904192, 3684, 1319, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.031238, 193, 18955, 144, 556.666666667, 1450, 0.289421157685, 3613, 1388, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 281.468702, 169, 19015, 145, 2505.0, 4076, 0.813572854291, 3770, 1238, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 262.757785, 172, 18972, 154, 626.25, 2281, 0.455289421158, 3796, 1206, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 275.998667, 182, 19074, 141, 715.714285714, 1655, 0.330339321357, 3823, 1180, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.275068, 159, 19010, 139, 835.0, 3020, 0.602794411178, 3793, 1211, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.717914, 192, 19018, 137, 501.0, 1684, 0.336127744511, 3722, 1278, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 272.97083, 179, 19016, 144, 626.25, 2491, 0.497205588822, 3788, 1214, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 275.515688, 213, 19010, 141, 1670.0, 2064, 0.411976047904, 3652, 1355, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 268.695226, 213, 19027, 160, 1252.5, 3656, 0.729740518962, 3758, 1248, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 278.492379, 189, 19023, 142, 715.714285714, 2861, 0.571057884232, 3613, 1390, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 277.583167, 172, 19019, 136, 626.25, 1354, 0.270259481038, 3714, 1288, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 271.227157, 230, 19033, 155, 715.714285714, 2321, 0.463273453094, 3711, 1292, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 282.894172, 162, 19063, 137, 626.25, 1473, 0.294011976048, 3743, 1259, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 276.010777, 181, 19092, 153, 1670.0, 1841, 0.36746506986, 3758, 1249, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 279.729711, 190, 18972, 142, 626.25, 1216, 0.242714570858, 3759, 1243, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 278.619541, 182, 19046, 141, 501.0, 946, 0.188822355289, 3864, 1136, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 268.04858, 157, 19002, 144, 715.714285714, 1361, 0.271656686627, 3734, 1269, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 271.518568, 167, 19012, 147, 626.25, 1778, 0.354890219561, 3768, 1234, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 275.505664, 165, 19037, 143, 835.0, 2724, 0.54371257485, 3751, 1253, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 277.520756, 177, 19075, 150, 1670.0, 2782, 0.555289421158, 3755, 1252, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 277.132634, 183, 19016, 141, 835.0, 1041, 0.207784431138, 3723, 1281, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 286.587033, 160, 19051, 139, 835.0, 2591, 0.517165668663, 3728, 1276, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 274.922835, 153, 19003, 140, 835.0, 1721, 0.343512974052, 3728, 1276, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.289, 0.2, 0.5, 0.083333, 5010, 282.697969, 186, 19043, 142, 556.666666667, 1154, 0.230339321357, 3705, 1296, 0.35
