p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 170.588849, 207, 19039, 143, 1002.0, 1917, 0.382634730539, 3556, 1449, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 168.488126, 184, 19000, 142, 715.714285714, 1715, 0.342315369261, 3632, 1371, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 166.699796, 160, 19009, 138, 556.666666667, 1512, 0.301796407186, 3777, 1224, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 166.333624, 200, 18999, 145, 1252.5, 2947, 0.588223552894, 3680, 1326, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 169.050956, 161, 18970, 136, 626.25, 1690, 0.337325349301, 3628, 1374, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 171.467586, 184, 19046, 152, 835.0, 1516, 0.302594810379, 3622, 1382, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 170.504407, 170, 18988, 144, 501.0, 1583, 0.315968063872, 3691, 1309, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 169.818414, 166, 19036, 148, 1002.0, 1926, 0.384431137725, 3613, 1392, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 172.730195, 170, 19020, 139, 455.454545455, 910, 0.181636726547, 3570, 1429, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 171.193499, 190, 19039, 146, 556.666666667, 1638, 0.326946107784, 3586, 1415, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 174.441238, 175, 19049, 139, 1252.5, 3732, 0.744910179641, 3535, 1471, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 178.982113, 160, 19052, 138, 501.0, 1406, 0.280638722555, 3604, 1396, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 167.651527, 233, 19028, 152, 626.25, 1520, 0.303393213573, 3729, 1273, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 166.423029, 178, 18975, 140, 715.714285714, 2591, 0.517165668663, 3588, 1415, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 170.880595, 152, 19015, 133, 715.714285714, 1964, 0.392015968064, 3470, 1533, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 170.037221, 187, 19013, 141, 501.0, 1722, 0.34371257485, 3555, 1445, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 166.040517, 214, 19037, 163, 5010.0, 5010, 1.0, 3642, 1367, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 167.607287, 230, 19034, 151, 835.0, 1505, 0.300399201597, 3621, 1383, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 174.286308, 189, 19046, 134, 835.0, 2509, 0.500798403194, 3576, 1428, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 169.969378, 171, 18984, 136, 626.25, 1647, 0.32874251497, 3635, 1367, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 167.319559, 183, 18998, 140, 556.666666667, 2803, 0.559481037924, 3673, 1328, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 171.078693, 162, 19017, 145, 1002.0, 2231, 0.445309381238, 3677, 1328, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 170.544356, 149, 19029, 143, 835.0, 2489, 0.496806387226, 3612, 1392, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 172.980677, 173, 19062, 141, 715.714285714, 2536, 0.50618762475, 3648, 1355, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 169.11517, 163, 18998, 142, 626.25, 1166, 0.232734530938, 3632, 1370, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 168.650514, 207, 18997, 145, 1252.5, 3551, 0.70878243513, 3628, 1378, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 168.351637, 158, 18984, 137, 715.714285714, 960, 0.191616766467, 3574, 1429, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.489, 0.2, 0.5, 0.083333, 5010, 161.890788, 181, 18992, 155, 2505.0, 3083, 0.615369261477, 3570, 1438, 0.25
