p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.517637, 317, 15018, 265, 835.0, 1224, 0.244311377246
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.565622, 334, 15010, 284, 501.0, 1294, 0.258283433134
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.350021, 217, 15010, 189, 501.0, 902, 0.18003992016
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.494918, 311, 15016, 253, 715.714285714, 1485, 0.296407185629
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.532357, 292, 15014, 268, 626.25, 1345, 0.268463073852
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.322182, 235, 14966, 196, 200.4, 928, 0.185229540918
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.668079, 368, 15020, 308, 1002.0, 1771, 0.353493013972
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.447156, 264, 15010, 241, 501.0, 1011, 0.201796407186
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.325794, 224, 15014, 202, 626.25, 1078, 0.215169660679
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.394014, 250, 15014, 225, 626.25, 1181, 0.235728542914
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 2.249137, 596, 15026, 516, 2505.0, 2997, 0.598203592814
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.605209, 331, 15020, 290, 1002.0, 1362, 0.271856287425
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.670882, 349, 14966, 281, 200.4, 818, 0.163273453094
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.442214, 332, 15006, 248, 417.5, 1303, 0.260079840319
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.263711, 189, 15006, 181, 417.5, 864, 0.17245508982
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.961169, 412, 15026, 372, 2505.0, 2823, 0.563473053892
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.958127, 460, 15022, 407, 1252.5, 1964, 0.392015968064
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.798142, 383, 15018, 344, 835.0, 1919, 0.383033932136
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.36158, 259, 15008, 207, 455.454545455, 919, 0.183433133733
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.991467, 385, 15026, 371, 2505.0, 2735, 0.545908183633
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.873871, 406, 15016, 389, 715.714285714, 2025, 0.404191616766
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.532934, 314, 14980, 280, 278.333333333, 1665, 0.332335329341
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.666758, 347, 15018, 301, 835.0, 1431, 0.285628742515
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.63017, 336, 15016, 308, 715.714285714, 1671, 0.333532934132
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.44225, 290, 15010, 247, 501.0, 1162, 0.231936127745
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.836177, 341, 15014, 318, 626.25, 1172, 0.233932135729
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.650349, 326, 15024, 283, 1670.0, 2046, 0.408383233533
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.54497, 328, 15018, 275, 835.0, 1306, 0.260678642715
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.96081, 340, 15016, 298, 715.714285714, 1407, 0.280838323353
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 2.593724, 630, 15016, 602, 715.714285714, 2985, 0.595808383234
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.736826, 366, 15022, 323, 1252.5, 2062, 0.411576846307
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.450484, 279, 15018, 238, 835.0, 1047, 0.208982035928
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.538559, 313, 15018, 273, 835.0, 1214, 0.242315369261
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.280765, 209, 15010, 179, 501.0, 886, 0.176846307385
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.732807, 364, 15010, 335, 501.0, 1573, 0.313972055888
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.501479, 272, 15016, 256, 715.714285714, 1269, 0.253293413174
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.487401, 283, 15016, 247, 715.714285714, 1017, 0.202994011976
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.556067, 290, 15020, 274, 1002.0, 1190, 0.2375249501
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 2.002112, 442, 14980, 425, 278.333333333, 1667, 0.332734530938
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.444508, 282, 15010, 230, 501.0, 1019, 0.203393213573
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.723056, 366, 14978, 328, 263.684210526, 2037, 0.406586826347
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.386881, 243, 15014, 217, 626.25, 1266, 0.252694610778
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.54792, 303, 15016, 271, 715.714285714, 1493, 0.298003992016
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.721199, 396, 15020, 318, 1002.0, 2127, 0.424550898204
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 2.509399, 653, 15028, 604, 5010.0, 5010, 1.0
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.51006, 301, 14968, 269, 208.75, 962, 0.192015968064
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.441284, 271, 15012, 239, 556.666666667, 824, 0.164471057884
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.565928, 337, 15018, 283, 835.0, 1485, 0.296407185629
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.605407, 317, 15008, 292, 455.454545455, 1419, 0.283233532934
0.002, 0.00136557, 0.06851662, 0.2151, 0.083333, 5010, 1.448192, 265, 15014, 239, 626.25, 953, 0.190219560878
