p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 240.514904, 168, 19067, 144, 715.714285714, 1696, 0.338522954092, 3284, 1719, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 234.459661, 204, 19039, 147, 1252.5, 2617, 0.522355289421, 3460, 1546, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 228.136917, 165, 19001, 149, 1252.5, 4229, 0.844111776447, 3466, 1540, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 241.77579, 154, 19052, 135, 1670.0, 2940, 0.586826347305, 3289, 1718, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 241.905106, 146, 19013, 133, 455.454545455, 1172, 0.233932135729, 3333, 1666, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 242.814436, 160, 19020, 143, 501.0, 1292, 0.257884231537, 3288, 1712, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 246.00718, 162, 19034, 134, 715.714285714, 1756, 0.350499001996, 3314, 1689, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 245.092363, 151, 19024, 132, 835.0, 1503, 0.3, 3131, 1873, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 237.790099, 191, 19063, 149, 835.0, 1541, 0.307584830339, 3500, 1504, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 241.618059, 189, 19021, 147, 835.0, 1495, 0.298403193613, 3257, 1747, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 235.182086, 170, 19020, 145, 715.714285714, 2937, 0.58622754491, 3312, 1691, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 240.42785, 176, 18992, 137, 626.25, 1751, 0.349500998004, 3319, 1683, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 240.81677, 165, 19014, 131, 455.454545455, 1766, 0.35249500998, 3247, 1752, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 243.00442, 225, 19058, 141, 715.714285714, 2290, 0.457085828343, 3320, 1683, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 232.271214, 152, 19050, 143, 1002.0, 2705, 0.539920159681, 3366, 1639, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 234.344016, 208, 19033, 136, 1252.5, 1726, 0.344510978044, 3316, 1690, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 234.432481, 206, 19046, 140, 715.714285714, 1755, 0.350299401198, 3479, 1524, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 239.639242, 163, 19044, 137, 1002.0, 2721, 0.543113772455, 3450, 1555, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 236.455895, 175, 19030, 149, 2505.0, 2762, 0.55129740519, 3325, 1683, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 236.074973, 164, 18991, 136, 715.714285714, 3069, 0.612574850299, 3421, 1582, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 244.432318, 200, 19037, 133, 835.0, 2318, 0.462674650699, 3315, 1689, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 240.524577, 140, 19026, 135, 1252.5, 2578, 0.514570858283, 3331, 1675, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 235.691504, 146, 19031, 142, 556.666666667, 1275, 0.254491017964, 3416, 1585, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 236.818043, 163, 19026, 144, 1670.0, 3233, 0.645309381238, 3229, 1778, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 234.118787, 164, 19005, 137, 715.714285714, 2485, 0.496007984032, 3286, 1717, 0.35
0.002, 0.00136557, 0.06851662, 0.2151, 0.589, 0.2, 0.5, 0.083333, 5010, 238.318294, 173, 19014, 145, 715.714285714, 2931, 0.58502994012, 3409, 1594, 0.35
