p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.486337, 289, 15012, 262, 556.666666667, 1350, 0.269461077844
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.404368, 288, 15012, 228, 556.666666667, 1703, 0.339920159681
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.875916, 396, 15024, 364, 1670.0, 2800, 0.558882235529
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.469816, 278, 15024, 255, 1670.0, 2363, 0.471656686627
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.700693, 358, 15020, 340, 1002.0, 1712, 0.341716566866
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.364443, 237, 15014, 214, 626.25, 1213, 0.242115768463
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.358961, 243, 15010, 192, 501.0, 1093, 0.218163672655
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.635508, 327, 15022, 303, 1252.5, 2160, 0.431137724551
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.516116, 270, 15020, 225, 1002.0, 1409, 0.28123752495
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.348059, 253, 15018, 216, 835.0, 1215, 0.24251497006
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.286611, 224, 15006, 175, 417.5, 1127, 0.2249500998
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.281274, 225, 15012, 181, 556.666666667, 917, 0.183033932136
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.339078, 231, 15018, 204, 835.0, 1498, 0.299001996008
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.507502, 274, 15022, 256, 1252.5, 1796, 0.358483033932
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.474688, 266, 15020, 246, 1002.0, 1330, 0.265469061876
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 2.135979, 507, 15028, 474, 5010.0, 5010, 1.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.331904, 251, 15008, 202, 455.454545455, 917, 0.183033932136
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.537704, 296, 15018, 284, 835.0, 1639, 0.327145708583
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.490551, 336, 15020, 264, 1002.0, 1470, 0.293413173653
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.521554, 307, 15022, 259, 1252.5, 1853, 0.369860279441
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.540015, 282, 15022, 268, 1252.5, 2279, 0.454890219561
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5010, 1.433572, 276, 15018, 234, 835.0, 1842, 0.367664670659
