p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.968302, 154, 18967, 136, 1250.0, 1593, 0.3186, 4230, 766, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.804977, 162, 19004, 132, 625.0, 1649, 0.3298, 4106, 886, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.225427, 155, 18976, 130, 625.0, 1379, 0.2758, 4247, 745, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.158891, 136, 18954, 134, 555.555555556, 911, 0.1822, 4167, 824, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.502931, 164, 18981, 132, 714.285714286, 1629, 0.3258, 4237, 756, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.463098, 168, 18961, 139, 500.0, 1721, 0.3442, 4170, 820, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.99344, 149, 18961, 130, 714.285714286, 1430, 0.286, 4205, 788, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.585846, 155, 18944, 133, 833.333333333, 2064, 0.4128, 4269, 725, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.698949, 177, 18988, 127, 384.615384615, 818, 0.1636, 4268, 719, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 75.145702, 184, 19064, 132, 833.333333333, 1930, 0.386, 4313, 681, 0.15
