p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.578276, 100, 2699, 73, 7.1308411215, 33, 0.043250327654, 4, 652, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.564101, 63, 2679, 60, 7.0, 51, 0.0668414154653, 17, 637, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.573586, 111, 2676, 65, 6.75221238938, 26, 0.0340760157274, 3, 647, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.56459, 86, 2690, 73, 7.70707070707, 31, 0.040629095675, 6, 658, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.562666, 84, 2696, 67, 7.70707070707, 30, 0.0393184796855, 2, 662, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.561427, 77, 2690, 69, 7.06481481481, 28, 0.0366972477064, 5, 650, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.576484, 85, 2696, 72, 7.78571428571, 40, 0.0524246395806, 9, 656, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.564457, 71, 2698, 65, 7.33653846154, 24, 0.0314547837484, 8, 651, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.590198, 89, 2727, 74, 8.29347826087, 35, 0.045871559633, 4, 667, 0.5
0.013, 0.1310616, 0.44036, 0.00218, 0.389, 0.2, 0.5, 0.083333, 763, 0.565157, 76, 2698, 76, 8.03157894737, 30, 0.0393184796855, 9, 659, 0.5
