graph_param,pInfected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,122.75773,179,19001,134,625,1393,0.2786,2984,2008,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.406489,169,19005,135,714.2857143,1564,0.3128,2949,2044,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.893295,147,18990,137,625,1864,0.3728,3054,1938,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.732062,165,19021,134,714.2857143,1305,0.261,3024,1969,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.439598,203,18985,141,555.5555556,1656,0.3312,3048,1943,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.327937,155,18997,135,1250,2042,0.4084,3066,1930,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.241515,158,18985,140,833.3333333,2589,0.5178,2897,2097,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.011514,147,18963,136,1000,1597,0.3194,3117,1878,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.590229,159,19002,143,833.3333333,2541,0.5082,2956,2038,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.464686,162,18934,141,555.5555556,1308,0.2616,3035,1956,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,122.982057,166,18921,135,625,1668,0.3336,3037,1955,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.943691,155,18952,133,454.5454545,1204,0.2408,3036,1953,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.75194,156,18985,135,555.5555556,2248,0.4496,3062,1929,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.495999,166,18943,134,714.2857143,2138,0.4276,3002,1991,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.123629,167,19037,136,1000,1747,0.3494,2911,2084,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.064844,156,19009,134,1000,1555,0.311,2901,2094,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.871453,167,18985,136,625,1563,0.3126,2912,2080,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.826981,170,19000,134,714.2857143,2277,0.4554,3019,1974,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.332277,179,19021,135,625,1602,0.3204,2972,2020,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.484854,170,19017,144,1666.666667,4100,0.82,2961,2036,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.014288,159,18975,135,714.2857143,1918,0.3836,2924,2069,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.66092,181,19014,134,500,1344,0.2688,3016,1974,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.669472,148,19000,137,1250,1747,0.3494,2946,2050,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.727464,154,18997,133,1250,4347,0.8694,3040,1956,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.595438,166,19008,131,555.5555556,1091,0.2182,2945,2046,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,123.492764,172,18945,138,714.2857143,2131,0.4262,3012,1981,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.095527,149,19037,134,5000,5000,1,2822,2177,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,122.868076,156,18953,144,5000,5000,1,2894,2105,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.532512,169,18984,130,625,2637,0.5274,2985,2007,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.754553,152,19018,138,833.3333333,2056,0.4112,3089,1905,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.542419,190,19049,137,555.5555556,1267,0.2534,3012,1979,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.858725,178,19011,134,714.2857143,1670,0.334,2933,2060,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,127.318649,159,19029,134,833.3333333,2105,0.421,3084,1910,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,122.643302,169,18928,134,500,2041,0.4082,2973,2017,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,123.406577,161,18950,138,833.3333333,1443,0.2886,3021,1973,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,123.224839,177,18985,142,1250,1692,0.3384,3063,1933,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.2255,142,18980,134,555.5555556,1570,0.314,3011,1980,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,123.614833,174,18968,134,714.2857143,2640,0.528,3027,1966,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,123.487869,166,18985,141,833.3333333,1360,0.272,3156,1838,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.333373,180,19001,140,1250,2390,0.478,2979,2017,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,124.678967,181,19000,142,833.3333333,1475,0.295,2994,2000,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,125.888352,209,19042,146,2500,3525,0.705,3037,1961,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,126.018215,226,19000,136,714.2857143,1902,0.3804,3094,1899,0.25
0.002,0.00136557,0.06851662,0.1151,0.489,0.2,0.5,0.083333,5000,128.405645,165,19019,134,1000,1796,0.3592,3098,1897,0.25
