pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 955.676332, 157, 18979, 125, 714.285714286, 1405, 0.281, 3811, 1182, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 963.908858, 152, 19005, 131, 1000.0, 1791, 0.3582, 4042, 953, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 966.523493, 152, 19006, 127, 333.333333333, 943, 0.1886, 4073, 912, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 962.947589, 135, 19025, 121, 2500.0, 3722, 0.7444, 3927, 1071, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 945.216836, 217, 18969, 127, 833.333333333, 2282, 0.4564, 4083, 911, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 956.072479, 178, 18995, 126, 625.0, 1063, 0.2126, 4019, 973, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 947.063444, 144, 18965, 121, 1000.0, 1858, 0.3716, 4122, 873, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 961.559076, 191, 19009, 127, 714.285714286, 1303, 0.2606, 4307, 686, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 949.563926, 152, 18982, 126, 1666.66666667, 2974, 0.5948, 4090, 907, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 943.522114, 146, 18938, 123, 555.555555556, 1261, 0.2522, 3941, 1050, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 943.93246, 168, 18942, 128, 500.0, 1272, 0.2544, 4043, 947, 0.5
