p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.282429, 371, 19043, 347, 626.25, 1789, 0.357085828343, 4796, 206, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.304518, 414, 19029, 353, 2505.0, 2656, 0.530139720559, 4789, 219, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.979654, 292, 19068, 240, 1252.5, 1601, 0.319560878244, 4803, 203, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.765845, 229, 18994, 213, 626.25, 1211, 0.241716566866, 4803, 199, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.256146, 352, 18963, 332, 1670.0, 2710, 0.540918163673, 4845, 162, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.791105, 244, 19070, 203, 715.714285714, 1410, 0.281437125749, 4799, 204, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.750891, 229, 18992, 209, 835.0, 1203, 0.240119760479, 4797, 207, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.75133, 220, 19020, 201, 835.0, 1384, 0.27624750499, 4800, 204, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.164419, 371, 19043, 323, 835.0, 1678, 0.334930139721, 4793, 211, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.632517, 185, 19036, 162, 385.384615385, 643, 0.128343313373, 4800, 197, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.84996, 287, 19034, 213, 1252.5, 1593, 0.317964071856, 4808, 198, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.86691, 249, 18990, 220, 455.454545455, 1022, 0.203992015968, 4813, 186, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.077846, 311, 18986, 271, 715.714285714, 1608, 0.320958083832, 4814, 189, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.762785, 240, 19042, 205, 1252.5, 1541, 0.307584830339, 4836, 170, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.882788, 252, 19063, 230, 835.0, 1420, 0.283433133733, 4818, 186, 0.0
