pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1021.52778,133,19000,126,1666.66666667,3712,0.7424,3841,1156,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1004.845485,149,18958,124,833.333333333,1589,0.3178,3912,1082,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1018.892188,171,18998,129,1250,2034,0.4068,3840,1156,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1010.456757,136,18980,121,1250,1627,0.3254,4083,913,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1037.752868,134,19054,126,833.333333333,1811,0.3622,3957,1037,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1010.56915,161,18979,133,1666.66666667,2170,0.434,4007,990,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,998.012408,160,18919,127,625,1831,0.3662,4231,761,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1008.552962,161,18962,120,1000,2319,0.4638,3904,1091,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.418253,145,18976,127,625,1475,0.295,3822,1170,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1013.873488,184,18998,119,833.333333333,1890,0.378,3737,1257,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.849529,153,18980,125,833.333333333,1441,0.2882,4094,900,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1009.091712,136,18969,123,1000,1862,0.3724,3806,1189,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1018.112367,150,19001,125,500,1215,0.243,3981,1009,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1026.999119,181,19014,127,714.285714286,1703,0.3406,3788,1205,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1018.870172,151,19010,127,1000,2863,0.5726,3977,1018,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.521644,147,18978,128,1666.66666667,3298,0.6596,3825,1172,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1009.998384,203,18956,128,714.285714286,1368,0.2736,3852,1141,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.307962,130,18994,123,1000,1567,0.3134,4011,984,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1005.039705,141,18957,129,1000,2338,0.4676,3815,1180,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1020.618643,155,18997,124,555.555555556,1093,0.2186,3751,1240,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1017.250486,156,18992,125,625,1095,0.219,4004,988,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1023.855158,144,19011,124,714.285714286,1317,0.2634,3928,1065,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1022.683051,151,19014,126,1000,2039,0.4078,3937,1058,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.8641,159,18975,129,500,1285,0.257,3806,1184,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1026.236421,137,19032,129,833.333333333,2011,0.4022,4198,796,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1011.677179,147,18990,129,714.285714286,2055,0.411,3966,1027,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1020.221072,172,18973,123,625,2247,0.4494,3860,1132,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1036.168747,133,19050,121,625,1240,0.248,3743,1249,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1023.220229,194,19003,126,1000,2028,0.4056,3864,1131,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1010.852717,191,18975,116,1000,3216,0.6432,4057,938,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1013.797017,187,18978,130,833.333333333,1278,0.2556,3867,1127,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1023.923716,147,19005,120,500,1291,0.2582,3660,1330,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1036.663693,146,19042,125,833.333333333,1235,0.247,3843,1151,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1022.892885,148,18996,129,384.615384615,997,0.1994,3948,1039,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1013.599458,154,18973,123,384.615384615,829,0.1658,4067,920,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1013.421037,150,18970,124,454.545454545,944,0.1888,3874,1115,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1015.650275,160,18977,125,625,1765,0.353,3955,1037,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1019.492858,141,19015,119,1666.66666667,2837,0.5674,4048,949,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1024.658905,159,19022,124,2500,4347,0.8694,4070,928,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1002.816258,172,18950,134,454.545454545,1408,0.2816,3846,1143,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1202.947423,149,19017,120,833.333333333,1893,0.3786,3736,1258,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1008.688061,224,18945,126,625,1236,0.2472,3715,1277,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1024.113434,150,19025,122,1250,4053,0.8106,3769,1227,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1025.87825,181,19014,126,357.142857143,997,0.1994,3847,1139,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1023.125431,140,19027,123,1250,3284,0.6568,3891,1105,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1021.399339,167,18998,128,714.285714286,1362,0.2724,4000,993,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1014.297037,184,18965,127,833.333333333,1208,0.2416,3959,1035,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1042.244818,154,18959,125,625,1121,0.2242,4094,898,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1013.718509,151,18993,124,1250,2069,0.4138,3868,1128,0.5
0.00136557,0.06851662,0.1151,0.439,0.2,0.5,0.083333,5000,1022.853096,146,19010,124,833.333333333,1960,0.392,4007,987,0.5
