p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.981363, 82, 1868, 58, 1.03533787973, 6, 0.00119760479042, 57, 114, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.905673, 92, 1804, 62, 1.0336290489, 4, 0.000798403193613, 46, 117, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.139021, 148, 1765, 56, 1.0338423442, 5, 0.000998003992016, 48, 116, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.503532, 63, 1821, 51, 1.03576597064, 6, 0.00119760479042, 61, 112, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.851687, 80, 1851, 62, 1.03576597064, 6, 0.00119760479042, 70, 103, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.282852, 101, 1671, 53, 1.02980472765, 5, 0.000998003992016, 41, 104, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.224636, 81, 1709, 52, 1.03022825416, 5, 0.000998003992016, 41, 106, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.237247, 67, 1815, 60, 1.03555188094, 10, 0.00199600798403, 57, 115, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.659936, 58, 1677, 52, 1.0270602706, 6, 0.00119760479042, 33, 99, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.863659, 64, 1820, 58, 1.0336290489, 5, 0.000998003992016, 43, 120, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.397795, 81, 1799, 65, 1.03320272221, 7, 0.00139720558882, 58, 103, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.359639, 94, 1712, 61, 1.03171334432, 6, 0.00119760479042, 48, 106, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 13.265326, 78, 1858, 59, 1.03107635316, 7, 0.00139720558882, 46, 105, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.62712, 109, 1731, 57, 1.02980472765, 4, 0.000798403193613, 47, 98, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.177765, 105, 1733, 59, 1.03128859613, 6, 0.00119760479042, 58, 94, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.890568, 90, 1914, 63, 1.0338423442, 6, 0.00119760479042, 53, 111, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.035396, 70, 1812, 57, 1.0315009265, 10, 0.00199600798403, 37, 116, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.849038, 80, 1758, 61, 1.03065212919, 6, 0.00119760479042, 47, 102, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 13.034298, 103, 1949, 55, 1.03834196891, 6, 0.00119760479042, 67, 118, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.365019, 66, 1951, 60, 1.04201331115, 6, 0.00119760479042, 62, 140, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.381878, 67, 1702, 55, 1.02895871842, 5, 0.000998003992016, 43, 98, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.997144, 83, 1781, 53, 1.03107635316, 7, 0.00139720558882, 44, 107, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.246118, 94, 1795, 64, 1.03598014888, 8, 0.00159680638723, 59, 115, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.021616, 76, 1882, 61, 1.0364087712, 8, 0.00159680638723, 58, 118, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.244044, 108, 1667, 59, 1.02980472765, 7, 0.00139720558882, 44, 101, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 10.589009, 71, 1580, 47, 1.0245398773, 5, 0.000998003992016, 40, 80, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 10.75481, 79, 1602, 55, 1.02874743326, 6, 0.00119760479042, 51, 89, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 10.714994, 81, 1586, 49, 1.02600860127, 7, 0.00139720558882, 43, 84, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.646805, 75, 1920, 56, 1.0381268131, 6, 0.00119760479042, 58, 126, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.452473, 79, 1755, 60, 1.03235112302, 7, 0.00139720558882, 46, 111, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.679064, 62, 1800, 57, 1.03320272221, 5, 0.000998003992016, 40, 121, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.296826, 83, 1822, 67, 1.03341584158, 7, 0.00139720558882, 62, 100, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 12.609395, 59, 1869, 51, 1.03277674706, 5, 0.000998003992016, 43, 116, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 11.371878, 80, 1772, 51, 1.03426919901, 7, 0.00139720558882, 53, 113, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 5010, 13.459057, 125, 2068, 71, 1.04071458247, 6, 0.00119760479042, 65, 131, 0.15
