p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.761164, 80, 2684, 60, 7.26666666667, 21, 0.0275229357798, 330, 328, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.908423, 79, 2714, 61, 8.20430107527, 39, 0.0511140235911, 304, 366, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.966189, 98, 2738, 69, 8.29347826087, 40, 0.0524246395806, 325, 346, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.560975, 84, 2708, 68, 8.20430107527, 33, 0.043250327654, 335, 335, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 7.012226, 83, 2762, 73, 10.0394736842, 38, 0.0498034076016, 340, 347, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.512734, 80, 2684, 65, 7.55445544554, 29, 0.0380078636959, 326, 336, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.749784, 71, 2679, 65, 6.93636363636, 23, 0.0301441677588, 326, 327, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.753484, 99, 2697, 66, 7.33653846154, 24, 0.0314547837484, 341, 318, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.813058, 89, 2700, 73, 7.48039215686, 23, 0.0301441677588, 342, 319, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.611059, 101, 2668, 68, 6.69298245614, 23, 0.0301441677588, 330, 319, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.728879, 111, 2674, 70, 6.87387387387, 24, 0.0314547837484, 329, 323, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 763, 6.645445, 89, 2680, 67, 7.06481481481, 21, 0.0275229357798, 333, 322, 0.15
