p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.051403, 48, 262, 26, 1.01958224543, 3, 0.00384122919334, 6, 9, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.043141, 36, 212, 20, 1.01165803109, 3, 0.00384122919334, 2, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.046192, 27, 247, 22, 1.01692708333, 3, 0.00384122919334, 5, 8, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.040378, 38, 203, 19, 1.01428571429, 3, 0.00384122919334, 5, 6, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.046731, 35, 225, 25, 1.0156046814, 3, 0.00384122919334, 5, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.044091, 32, 222, 21, 1.01165803109, 3, 0.00384122919334, 5, 4, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.045246, 42, 232, 24, 1.0222513089, 3, 0.00384122919334, 10, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.043677, 58, 216, 20, 1.01297016861, 2, 0.00256081946223, 3, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.049001, 57, 244, 29, 1.0222513089, 3, 0.00384122919334, 8, 9, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.048238, 35, 240, 21, 1.01297016861, 3, 0.00384122919334, 5, 5, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.049243, 45, 233, 28, 1.01958224543, 3, 0.00384122919334, 4, 11, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.040577, 48, 216, 17, 1.0156046814, 3, 0.00384122919334, 5, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.046456, 29, 219, 25, 1.01692708333, 4, 0.00512163892446, 7, 6, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.055414, 63, 241, 29, 1.01428571429, 5, 0.00640204865557, 4, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.048087, 41, 247, 26, 1.01958224543, 5, 0.00640204865557, 5, 10, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.04455, 50, 225, 25, 1.01825293351, 3, 0.00384122919334, 4, 10, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.05216, 64, 257, 36, 1.02628120894, 3, 0.00384122919334, 7, 13, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.041827, 53, 215, 24, 1.01958224543, 3, 0.00384122919334, 6, 9, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.049652, 35, 264, 24, 1.0249343832, 4, 0.00512163892446, 8, 11, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.044282, 42, 209, 23, 1.01297016861, 3, 0.00384122919334, 4, 6, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.043288, 45, 210, 24, 1.01825293351, 3, 0.00384122919334, 3, 11, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.042087, 21, 211, 19, 1.01297016861, 3, 0.00384122919334, 7, 3, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.05479, 51, 263, 29, 1.01958224543, 3, 0.00384122919334, 6, 9, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.043077, 37, 228, 22, 1.01825293351, 3, 0.00384122919334, 4, 10, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.047066, 40, 241, 25, 1.01825293351, 2, 0.00256081946223, 7, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.052731, 48, 289, 19, 1.02091503268, 4, 0.00512163892446, 5, 11, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.045548, 41, 230, 20, 1.01165803109, 2, 0.00256081946223, 6, 3, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.051322, 51, 245, 28, 1.01825293351, 3, 0.00384122919334, 7, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.051896, 25, 265, 24, 1.01692708333, 4, 0.00512163892446, 1, 12, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.047271, 77, 230, 27, 1.01825293351, 4, 0.00512163892446, 2, 12, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.041958, 55, 196, 23, 1.01297016861, 3, 0.00384122919334, 2, 8, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.046727, 48, 240, 20, 1.01825293351, 3, 0.00384122919334, 3, 11, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.047703, 35, 241, 21, 1.0249343832, 3, 0.00384122919334, 6, 13, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.046861, 25, 238, 21, 1.01165803109, 4, 0.00512163892446, 4, 5, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.049232, 70, 240, 24, 1.01692708333, 3, 0.00384122919334, 8, 5, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.058433, 63, 296, 30, 1.02628120894, 3, 0.00384122919334, 8, 12, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.048381, 41, 252, 25, 1.02359108781, 3, 0.00384122919334, 4, 14, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.039462, 32, 205, 22, 1.01825293351, 4, 0.00512163892446, 4, 10, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.047533, 76, 220, 28, 1.01692708333, 4, 0.00512163892446, 6, 7, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.05719, 82, 271, 32, 1.02359108781, 4, 0.00512163892446, 5, 13, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.047408, 63, 234, 22, 1.01165803109, 4, 0.00512163892446, 3, 6, 0.15
1.0, 0.1310616, 0.44036, 0.00218, 0.00629, 0.2, 0.7, 0.083333, 781, 0.03868, 16, 211, 15, 1.01297016861, 2, 0.00256081946223, 3, 7, 0.15
