pInfected, gamma, beta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.52594, 181, 14954, 145, 277.777777778, 2044, 0.4088
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.708099, 176, 14957, 146, 294.117647059, 1189, 0.2378
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.39767, 170, 14966, 145, 384.615384615, 1845, 0.369
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.467073, 192, 14960, 146, 312.5, 1314, 0.2628
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.71657, 162, 14965, 143, 384.615384615, 2756, 0.5512
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.460709, 154, 14959, 136, 294.117647059, 1061, 0.2122
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.442038, 165, 14966, 145, 357.142857143, 1734, 0.3468
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.44562, 158, 14978, 141, 555.555555556, 1856, 0.3712
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.540909, 170, 14961, 148, 333.333333333, 1696, 0.3392
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.466838, 174, 14934, 141, 208.333333333, 2320, 0.464
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.426572, 182, 14965, 138, 333.333333333, 1843, 0.3686
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.646182, 203, 14968, 145, 357.142857143, 924, 0.1848
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.500412, 171, 14964, 152, 333.333333333, 1335, 0.267
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.515108, 167, 14954, 144, 277.777777778, 1389, 0.2778
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.541399, 173, 14986, 154, 833.333333333, 1955, 0.391
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.505921, 231, 14954, 142, 277.777777778, 1379, 0.2758
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.477017, 190, 14960, 156, 357.142857143, 2594, 0.5188
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.515221, 250, 14959, 144, 312.5, 1973, 0.3946
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.488686, 212, 14977, 151, 555.555555556, 2747, 0.5494
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.459081, 197, 14972, 143, 454.545454545, 3222, 0.6444
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.487347, 179, 14981, 143, 714.285714286, 3046, 0.6092
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.690611, 195, 14967, 148, 384.615384615, 2295, 0.459
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.402705, 178, 14954, 140, 277.777777778, 1074, 0.2148
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.455655, 184, 14977, 138, 454.545454545, 1602, 0.3204
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.438758, 221, 14969, 146, 416.666666667, 2479, 0.4958
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.833673, 174, 14964, 147, 357.142857143, 2015, 0.403
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.480028, 173, 14967, 141, 357.142857143, 987, 0.1974
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.516833, 178, 14979, 148, 625.0, 2787, 0.5574
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.547082, 195, 14978, 151, 555.555555556, 1372, 0.2744
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.460096, 215, 14977, 143, 555.555555556, 1999, 0.3998
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.499956, 168, 14967, 145, 384.615384615, 1632, 0.3264
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.510384, 174, 14952, 140, 263.157894737, 1240, 0.248
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.466498, 182, 14962, 143, 312.5, 1401, 0.2802
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.542268, 175, 14975, 146, 500.0, 2287, 0.4574
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.550871, 163, 14974, 142, 500.0, 1777, 0.3554
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.506749, 173, 14984, 141, 714.285714286, 1449, 0.2898
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.538799, 179, 14969, 149, 384.615384615, 1826, 0.3652
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.729399, 184, 14955, 149, 294.117647059, 1670, 0.334
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.471084, 186, 14964, 145, 357.142857143, 2749, 0.5498
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.497966, 198, 14964, 154, 384.615384615, 2897, 0.5794
0.00136557, 0.06851662, 0.1151, 0.083333, 5000, 1.43847, 165, 14939, 142, 200.0, 1395, 0.279
