pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.3, 0.01, 1000, 4.536237, 949, 3693, 533, 100.0, 256, 0.256, 875, 115, 1
