timesteps, 0, 1, 2, 3, 4, 5, 6, 7, 136, 9, 10, 11, 12, 14, 15, 16, 273, 19, 134, 22, 23, 299, 27, 156, 261, 368, 35, 36, 37, 167, 623, 171, 300, 321, 47, 49, 50, 51, 55, 56, 445, 60, 61, 62, 64, 65, 139, 452, 177, 75, 206, 79, 83, 270, 88, 93, 94, 231, 235, 111, 112, 183, 275, 190, 119, 125
events, 4, 3, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
sus, 22, 19, 15, 12, 9, 7, 6, 5, 0, 5, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
exp, 4, 7, 11, 14, 17, 19, 20, 21, 5, 20, 21, 22, 21, 23, 24, 23, 1, 22, 6, 21, 21, 1, 20, 4, 2, 1, 19, 18, 18, 4, 0, 4, 1, 1, 17, 16, 15, 14, 13, 12, 0, 11, 11, 11, 10, 9, 5, 0, 3, 9, 3, 8, 7, 1, 7, 6, 6, 2, 2, 6, 6, 3, 1, 3, 6, 6
inf, 4, 4, 4, 4, 4, 4, 4, 4, 12, 5, 5, 5, 6, 6, 6, 7, 6, 8, 11, 9, 8, 4, 9, 12, 6, 1, 10, 10, 9, 11, 0, 10, 3, 2, 10, 11, 12, 13, 14, 15, 2, 16, 15, 14, 15, 16, 11, 1, 10, 15, 7, 16, 17, 7, 16, 17, 16, 8, 7, 15, 14, 9, 5, 8, 13, 12
rem, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 23, 0, 13, 0, 1, 25, 1, 14, 22, 28, 1, 2, 3, 15, 30, 16, 26, 27, 3, 3, 3, 3, 3, 3, 28, 3, 4, 5, 5, 5, 14, 29, 17, 6, 20, 6, 6, 22, 7, 7, 8, 20, 21, 9, 10, 18, 24, 19, 11, 12
timesteps, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 14, 15, 16, 19, 22, 23, 27, 35, 36, 37, 47, 49, 50, 51, 55, 56, 60, 61, 62, 64, 65, 75, 79, 83, 88, 93, 94, 111, 112, 119, 125, 134, 136, 139, 156, 167, 171, 177, 183, 190, 206, 231, 235, 261, 270, 273, 275, 299, 300, 321, 368, 445, 452, 623
events, 4, 3, 4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
sus, 22, 19, 15, 12, 9, 7, 6, 5, 5, 4, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
exp, 4, 7, 11, 14, 17, 19, 20, 21, 20, 21, 22, 21, 23, 24, 23, 22, 21, 21, 20, 19, 18, 18, 17, 16, 15, 14, 13, 12, 11, 11, 11, 10, 9, 9, 8, 7, 7, 6, 6, 6, 6, 6, 6, 6, 5, 5, 4, 4, 4, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0
inf, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 8, 9, 8, 9, 10, 10, 9, 10, 11, 12, 13, 14, 15, 16, 15, 14, 15, 16, 15, 16, 17, 16, 17, 16, 15, 14, 13, 12, 11, 12, 11, 12, 11, 10, 10, 9, 8, 7, 8, 7, 6, 7, 6, 5, 4, 3, 2, 1, 2, 1, 0
rem, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 5, 6, 6, 6, 7, 7, 8, 9, 10, 11, 12, 13, 13, 14, 14, 15, 16, 17, 18, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 27, 28, 28, 29, 30
